Year,nom_departement,Number_of_Taxpayers,Average_Assets_in_Euro,Average_Tax_in_Euro
2020,PUY-DE-DOME,114.0,1955280.0,6836.0
2020,PYRENEES-ATLANTIQUES,721.0,8247011.0,31241.0
2020,PYRENEES-ORIENTALES,128.0,2137267.0,8836.0
2020,RHONE,707.0,12861211.0,49288.0
2020,SARTHE,158.0,2173667.0,8726.0
2020,SAVOIE,177.0,4137249.0,15764.0
2020,SEINE-ET-MARNE,53.0,2100117.0,7635.0
2020,SEINE-MARITIME,248.0,4330601.0,17821.0
2020,SEINE-SAINT-DENIS,266.0,8725468.0,35756.0
2020,SOMME,165.0,2106323.0,8044.000000000001
2020,TARN,62.0,1967843.0,6819.0
2020,TARN-ET-GARONNE,70.0,1970725.0,7169.0
2020,VAL-D'OISE,117.0,2353003.0,11105.0
2020,VAL-DE-MARNE,2980.0,30616139.0,116920.0
2020,VAR,1153.0,14852938.0,60477.0
2020,VAUCLUSE,94.0,2029763.0,7301.0
2020,VENDEE,131.0,2167100.0,9101.0
2020,VIENNE,88.0,2020657.0,7501.0
2020,YVELINES,1669.0,12863276.0,46525.0
2021,ALPES-MARITIMES,2686.0,25534238.0,118924.0
2021,AUBE,52.0,2536332.0,12912.0
2021,AUDE,61.0,2038151.0,8112.0
2021,BAS-RHIN,711.0,2376319.0,9950.0
2021,BOUCHES-DU-RHONE,1267.0,10510797.0,40621.0
2021,CALVADOS,213.0,2236565.0,9557.0
2021,CHARENTE-MARITIME,268.0,2127345.0,8278.0
2021,CORREZE,59.0,2850188.0,14878.0
2021,CORSE-DU-SUD,185.0,2418990.0,11216.0
2021,COTE-D'OR,240.0,4545231.0,18757.0
2021,DEUX-SEVRES,54.0,2211150.0,9419.0
2021,DOUBS,102.0,2051255.0,7830.0
2021,DROME,121.0,4513039.0,17623.0
2021,ESSONNE,287.0,9670245.0,39811.0
2021,EURE-ET-LOIR,86.0,2315656.0,10153.0
2021,FINISTERE,79.0,2452426.0,11760.0
2021,GARD,217.0,2145679.0,8911.0
2021,GIRONDE,1062.0,20071762.0,83524.0
2021,HAUT-RHIN,175.0,4676779.0,20921.0
2021,HAUTE-CORSE,61.0,2232820.0,9719.0
2021,HAUTE-GARONNE,66.0,2292439.0,9084.0
2021,HAUTE-SAVOIE,646.0,4216188.0,16908.0
2021,HAUTE-VIENNE,138.0,2373323.0,11236.0
2021,HAUTES-ALPES,65.0,2268207.0,8156.0
2021,HAUTS-DE-SEINE,6851.0,55776189.0,215775.0
2021,HERAULT,811.0,10921796.0,46833.0
2021,ILLE-ET-VILAINE,769.0,4680215.0,20600.0
2021,INDRE-ET-LOIRE,203.0,2128313.0,8278.0
2021,ISERE,174.0,2224496.0,8388.0
2021,LA REUNION,693.0,9248188.0,40615.0
2021,LOIRE,78.0,2041352.0,7594.0
2021,LOIRE-ATLANTIQUE,1180.0,8497079.0,32761.0
2021,LOIRET,205.0,4628810.0,20095.0
2021,MAINE-ET-LOIRE,177.0,2000162.0,7227.0
2021,MARNE,258.0,2157480.0,8544.0
2021,MAYENNE,71.0,2347022.0,9974.0
2021,MEURTHE-ET-MOSELLE,196.0,2394349.0,9595.0
2021,MORBIHAN,188.0,2021611.0,7677.0
2021,MOSELLE,193.0,4322824.0,17811.0
2021,NORD,1074.0,17877248.0,68063.0
2021,OISE,165.0,5938033.0,25627.0
2021,PARIS,5297.0,19816456.0,87480.0
2021,PAS-DE-CALAIS,51.0,1884753.0,6321.0
2021,PUY-DE-DOME,115.0,2001395.0,7452.0
